,Tm,RA/G,DefEff,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
0,ARI,5.49,0.665,6118,4354,1663,101,143,0.983,-31,-3,-24,2,11
1,ATL,4.84,0.6920000000000001,6009,4343,1565,101,134,0.983,10,1,-14,-1,-8
2,BAL,4.41,0.688,5955,4296,1579,80,165,0.987,-11,-1,1,3,5
3,BOS,4.28,0.695,5821,4319,1427,75,139,0.987,21,2,69,0,-1
4,CHC,3.43,0.728,6115,4379,1635,101,116,0.983,96,9,107,1,-2
5,CHW,4.41,0.687,5971,4340,1536,95,148,0.9840000000000001,2,0,-2,-2,0
6,CIN,5.27,0.6940000000000001,5977,4326,1549,102,142,0.983,9,1,-14,-1,2
7,CLE,4.2,0.696,6032,4335,1608,89,126,0.985,69,6,41,0,-2
8,COL,5.31,0.667,6147,4288,1749,110,148,0.982,2,0,11,0,-5
9,DET,4.48,0.6890000000000001,5896,4284,1537,75,148,0.987,-40,-4,-57,0,4
10,HOU,4.33,0.6809999999999999,6080,4404,1599,77,135,0.987,-14,-1,77,2,-7
11,KCR,4.4,0.687,5940,4320,1526,94,134,0.9840000000000001,8,1,10,0,3
12,LAA,4.49,0.685,5844,4264,1483,97,148,0.983,-22,-2,38,0,4
13,LAD,3.94,0.6990000000000001,5887,4359,1448,80,101,0.986,20,2,56,0,-4
14,MIA,4.24,0.6829999999999999,5897,4305,1506,86,137,0.985,-7,-1,4,0,9
15,MIL,4.52,0.68,6110,4303,1671,136,145,0.978,3,0,24,0,1
16,MIN,5.49,0.662,6065,4329,1610,126,172,0.9790000000000001,-73,-7,-57,-1,0
17,NYM,3.81,0.6779999999999999,5950,4341,1519,90,138,0.985,-17,-2,3,0,5
18,NYY,4.33,0.6940000000000001,5907,4285,1536,86,116,0.985,6,1,14,-2,-4
19,OAK,4.7,0.685,6027,4300,1630,97,152,0.9840000000000001,-53,-5,-70,-4,-5
20,PHI,4.91,0.6809999999999999,5911,4311,1503,97,142,0.9840000000000001,17,2,-11,-3,-4
21,PIT,4.68,0.6759999999999999,6208,4352,1745,111,172,0.982,-21,-2,-6,0,-6
22,SDP,4.75,0.687,6052,4320,1623,109,165,0.982,-19,-2,-3,0,-1
23,SEA,4.36,0.6940000000000001,6035,4371,1575,89,158,0.985,5,0,2,0,2
24,SFG,3.9,0.7020000000000001,6092,4381,1639,72,136,0.988,44,4,75,6,3
25,STL,4.4,0.679,6199,4345,1747,107,169,0.983,-25,-2,-10,-1,0
26,TBR,4.4,0.687,5783,4279,1410,94,129,0.9840000000000001,-37,-3,16,0,-2
27,TEX,4.67,0.6920000000000001,6081,4329,1655,97,190,0.9840000000000001,47,4,2,0,4
28,TOR,4.11,0.703,6088,4378,1622,88,144,0.986,11,1,58,0,-3
29,WSN,3.78,0.7,5877,4379,1425,73,142,0.988,48,4,2,0,3
